GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
studentmanager,com.wdd.studentmanager.util,DateFormatUtil,12,0,0,0,3,0,2,0,2,0
studentmanager,com.wdd.studentmanager.util,CpachaUtil,1362,0,14,0,91,0,27,0,20,0
studentmanager,com.wdd.studentmanager.util,AjaxResult,14,17,0,0,6,7,4,5,4,5
studentmanager,com.wdd.studentmanager.util,PageBean,81,53,3,3,13,15,11,5,8,5
studentmanager,com.wdd.studentmanager.util,SnGenerateUtil,33,0,0,0,7,0,3,0,3,0
studentmanager,com.wdd.studentmanager.util,UploadUtil,21,0,2,0,6,0,3,0,2,0
studentmanager,com.wdd.studentmanager.util,Const,3,0,0,0,1,0,1,0,1,0
studentmanager,com.wdd.studentmanager.util,Data,0,10,0,0,0,4,0,3,0,3
studentmanager,com.wdd.studentmanager.config,SpringmvcConfig,67,0,0,0,7,0,4,0,4,0
studentmanager,com.wdd.studentmanager.domain,Course,29,29,0,0,11,13,9,6,9,6
studentmanager,com.wdd.studentmanager.domain,Clazz,24,0,0,0,10,0,7,0,7,0
studentmanager,com.wdd.studentmanager.domain,Admin,24,0,0,0,10,0,7,0,7,0
studentmanager,com.wdd.studentmanager.domain,ScoreStats,31,0,0,0,13,0,9,0,9,0
studentmanager,com.wdd.studentmanager.domain,Leave,48,0,0,0,20,0,12,0,12,0
studentmanager,com.wdd.studentmanager.domain,Student,69,0,0,0,29,0,19,0,19,0
studentmanager,com.wdd.studentmanager.domain,SelectedCourse,24,0,0,0,10,0,7,0,7,0
studentmanager,com.wdd.studentmanager.domain,Teacher,69,0,0,0,29,0,19,0,19,0
studentmanager,com.wdd.studentmanager.domain,Attendance,38,0,0,0,16,0,11,0,11,0
studentmanager,com.wdd.studentmanager.domain,Grade,24,0,0,0,10,0,7,0,7,0
studentmanager,com.wdd.studentmanager.domain,Score,52,0,0,0,22,0,15,0,15,0
studentmanager,com.wdd.studentmanager.controller,AttendanceController,215,0,22,0,51,0,17,0,6,0
studentmanager,com.wdd.studentmanager.controller,AdminController,5,0,0,0,2,0,2,0,2,0
studentmanager,com.wdd.studentmanager.controller,CourseController,0,178,1,13,0,53,1,12,0,6
studentmanager,com.wdd.studentmanager.controller,ClazzController,193,0,16,0,59,0,14,0,6,0
studentmanager,com.wdd.studentmanager.controller,LeaveController,205,0,14,0,65,0,14,0,7,0
studentmanager,com.wdd.studentmanager.controller,SystemController,446,0,42,0,141,0,31,0,9,0
studentmanager,com.wdd.studentmanager.controller,StudentController,430,0,34,0,100,0,23,0,6,0
studentmanager,com.wdd.studentmanager.controller,SelectedCourseController,164,0,18,0,45,0,14,0,5,0
studentmanager,com.wdd.studentmanager.controller,ScoreController,831,0,58,0,191,0,39,0,10,0
studentmanager,com.wdd.studentmanager.controller,TeacherController,407,0,30,0,93,0,21,0,6,0
studentmanager,com.wdd.studentmanager,StudentmanagerApplication,8,0,0,0,3,0,2,0,2,0
studentmanager,com.wdd.studentmanager.service.Impl,ClazzServiceImpl,61,0,0,0,13,0,6,0,6,0
studentmanager,com.wdd.studentmanager.service.Impl,AttendanceServiceImpl,62,0,2,0,15,0,6,0,5,0
studentmanager,com.wdd.studentmanager.service.Impl,AdminServiceImpl,13,0,0,0,3,0,3,0,3,0
studentmanager,com.wdd.studentmanager.service.Impl,LeaveServiceImpl,61,0,0,0,13,0,6,0,6,0
studentmanager,com.wdd.studentmanager.service.Impl,CourseServiceImpl,66,0,0,0,14,0,7,0,7,0
studentmanager,com.wdd.studentmanager.service.Impl,ScoreServiceImpl,77,0,2,0,18,0,9,0,8,0
studentmanager,com.wdd.studentmanager.service.Impl,SelectedCourseServiceImpl,106,0,8,0,28,0,10,0,6,0
studentmanager,com.wdd.studentmanager.service.Impl,TeacherServiceImpl,71,0,0,0,15,0,8,0,8,0
studentmanager,com.wdd.studentmanager.service.Impl,StudentServiceImpl,88,0,2,0,20,0,11,0,10,0
studentmanager,com.wdd.studentmanager.interceptors,LoginInterceptor,45,0,6,0,8,0,5,0,2,0
